url,video_name,duration_seconds,tempo_bpm,rms_energy,amplitude_spike_ratio,zero_crossing_rate,visual_score,words_per_second,avg_text_area_ratio,text_change_rate,audio_score,text_score,final_afi,category,elapsed_seconds
https://youtube.com/shorts/lzuMz7QY_MQ?si=_FCQ7DCGwUKiK5xD,,29.12,170.455,0.26044,0.04575,0.10874,26.17,2.333,0.03564,0.1032,90.98,14.57,45.95,Moderate,57.5
https://youtube.com/shorts/DLEThBk7q5g?si=ebU7Y26m3K4LB4Ew,,11.61,133.929,0.15866,0.01934,0.07939,84.89,1.833,0.01438,0.0862,38.43,8.51,49.53,Moderate,22.3
https://youtube.com/shorts/w9McrJdOU4A?si=Yl3UuHy0aL-vhAgZ,,15.42,144.231,0.13764,0.02258,0.19619,84.89,0.0,0.0,0.0,56.83,0.0,53.85,Moderate,14.1
https://youtube.com/shorts/CxkLss9Sg3Q?si=CbuXk5hb_8l_H5Ep,,24.94,89.286,0.14297,0.03257,0.16312,52.85,0.077,0.0013,0.0802,42.15,5.09,37.16,Moderate,31.5
https://youtube.com/shorts/LaS7Rixyy14?si=7lkBcOQSDQo9a2fC,,21.8,170.455,0.26085,0.02116,0.15646,84.89,1.818,0.03807,0.1835,75.44,19.52,65.24,High,23.3
https://youtube.com/shorts/-_xVkf-muEs?si=SBrHXZzoxu0S1rHq,,18.44,156.25,0.25133,0.02843,0.10329,58.34,4.6,0.04126,0.1627,69.39,22.3,53.2,Moderate,20.6
https://youtube.com/shorts/Dd85pijprDo?si=nn_f_oZfSzE_aPt2,,9.94,110.294,0.16358,0.01357,0.13763,84.89,0.4,0.1543,0.2013,34.08,42.77,56.58,Moderate,21.1
https://youtube.com/shorts/_4Viqx5XNvI?si=oxvckhxIFLrwz-iL,,7.78,156.25,0.06255,0.02255,0.07392,2.26,2.25,0.01836,0.1286,40.7,12.53,18.28,Calm,9.9
https://youtube.com/shorts/anwVHmQiUMg?si=gH0Q2i-OP2pOR1O5,,11.28,133.929,0.55662,0.0,0.05454,84.89,0.5,0.00515,0.355,43.38,22.76,54.83,Moderate,11.8
https://youtube.com/shorts/LzR88kSy2pQ?si=XaryJ19cT9YleWmy,,11.01,156.25,0.18348,0.00083,0.03473,84.89,0.5,0.04313,0.0909,47.47,13.06,53.84,Moderate,28.1
https://youtube.com/shorts/5zOD78aOgg4?si=6AruHAs-L7V7tH1b,,20.02,0.0,0.0,0.0,0.0,84.89,0.0,0.0,0.0,0.0,0.0,33.96,Moderate,22.1
